rule_id,cancer_codes,alteration,label,anchor_genes,expected_up_genes,expected_low_genes,min_gene_tpm,min_anchor_genes,min_up_genes,min_low_genes,allow_expression_hypothesis,confidence,basis,suggested_assay,caveat,source
brca_er_pathway_active,BRCA,ESR1 pathway active,ER-positive / luminal endocrine biology,ESR1:1,ESR1:1;PGR:1;FOXA1:5;GATA3:5,,1,1,3,0,true,moderate,"Luminal breast cancers with active ER signaling express ESR1/PGR/FOXA1/GATA3 and often differ therapeutically from basal/TNBC",ER/PR/HER2 IHC; ESR1 mutation testing when endocrine-resistant,"Expression supports active pathway state, not ESR1 mutation status by itself",PMID:26451490
brca_tnbc_basal_egfr,BRCA,basal-like/TNBC pathway,Basal-like TNBC EGFR/KRT program,KRT5:5,EGFR:5;KRT5:5;KRT14:5;KRT17:5,ESR1:1;PGR:1,1,1,2,1,true,moderate,"Basal/TNBC breast cancers often show EGFR and basal keratin expression with low ER pathway markers",ER/PR/HER2 IHC; DNA/RNA panel for actionable mutations,"This indicates basal-like biology, not a single mutation; use as context for mutation/trial testing",PMID:26451490
prad_ar_active,PRAD,AR pathway active,AR-driven prostate program,AR:1,AR:1;KLK3:5;KLK2:5;TMPRSS2:5;NKX3-1:5,,1,1,3,0,true,moderate,"AR pathway activation is reflected by KLK3/KLK2/TMPRSS2/NKX3-1 expression",AR-V7/AR alteration testing when clinically indicated,"Expression reports pathway activity, not whether AR is amplified or mutated",PMID:33060831
prad_nepc_lineage,PRAD,RB1/TP53 loss or neuroendocrine transformation-compatible,Neuroendocrine prostate biology,CHGA:1,CHGA:5;SYP:5;ENO2:5;ASCL1:2,KLK3:1;NKX3-1:1,1,1,2,1,true,moderate,"Treatment-emergent neuroendocrine prostate cancer is commonly linked to TP53/RB1 loss and shows neuroendocrine markers with reduced AR-output genes",DNA panel for TP53/RB1/PTEN; pathology/IHC for NEPC,"Expression supports NE transformation biology but cannot prove RB1/TP53 genotype alone",PMID:29395347
luad_egfr_mutant_like,LUAD,EGFR-mutant-like expression,EGFR-addicted LUAD-like biology,EGFR:1,EGFR:10;ERBB3:5;FOXA1:5,,1,1,2,0,true,low,"EGFR-mutant LUAD can show EGFR/ERBB3/FOXA1 lineage and receptor-axis expression",Clinical DNA/RNA EGFR mutation testing,"Low-specificity RNA context only; never substitute for EGFR genotyping",PMID:25079552
luad_stk11_keap1_like,LUAD,STK11/KEAP1-loss-compatible,STK11/KEAP1 cold-metabolic LUAD biology,ALDH1A1:1,ALDH1A1:5;AKR1C1:5;AKR1C2:5;SLC7A11:5,,1,1,2,0,true,low,"STK11/KEAP1-altered LUAD often shows oxidative-stress/metabolic programs and immune-cold biology",DNA panel for STK11/KEAP1; immune-context review,"Low-specificity expression support; metabolic stress and lineage can mimic this",PMID:29727621
coad_msi_immune_like,COAD;READ,MSI-H/dMMR-compatible immune biology,MSI-H immune-inflamed colorectal biology,CXCL9:1,CXCL9:5;CXCL10:5;IDO1:2;GZMB:2,,1,1,2,0,true,moderate,"MSI-H/dMMR colorectal cancers often show interferon/T-cell inflamed expression programs",MSI PCR/NGS; MMR IHC; TMB,"Inflamed RNA can reflect microenvironment or treatment state; confirm MSI/MMR directly",PMID:24434208
coad_cms4_tgf_beta,COAD;READ,TGF-beta stromal/CMS4-compatible biology,TGF-beta/stromal colorectal biology,TGFB1:1,TGFB1:5;VIM:5;ZEB1:2;COL1A1:10;POSTN:5,,1,1,3,0,true,moderate,"CMS4-like colorectal tumors show mesenchymal/TGF-beta and stromal programs associated with poorer prognosis and therapy resistance",Transcriptomic subtype or pathology review; DNA panel as indicated,"Bulk expression can be driven by stroma; use tumor attribution and decomposition before interpreting as tumor-cell-intrinsic",PMID:26457759
hcc_ctnnb1_like,LIHC,CTNNB1/WNT-compatible,HCC WNT/beta-catenin biology,GLUL:1,GLUL:5;LGR5:2;AXIN2:2;TBX3:2,,1,1,2,0,true,moderate,"CTNNB1-mutant HCC often shows WNT/beta-catenin target expression such as GLUL and AXIN2",DNA panel for CTNNB1; HCC pathology review,"Expression suggests pathway activity, not the exact mutation; liver background can confound",PMID:25528777
hcc_afp_progenitor_like,LIHC,progenitor/aggressive HCC-compatible,AFP/progenitor HCC biology,AFP:1,AFP:10;GPC3:5;KRT19:5;EPCAM:2,,1,1,2,0,true,moderate,"AFP/GPC3/KRT19/EPCAM expression marks progenitor-like/aggressive HCC biology and can affect trial/target discussions",AFP serum/IHC; pathology review; DNA/RNA panel,"This is an expression-defined biology axis, not a single mutation",PMID:25528777
